IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.24.80.56,443,443,True,ICN,Asia Pacific,KR,Seoul,278,9.05
129.154.254.254,8443,443,True,BOM,Asia Pacific,IN,Mumbai,278,8.64
152.69.222.9,443,443,True,SIN,Asia Pacific,SG,Singapore,225,6.15
158.101.159.94,443,443,True,NRT,Asia Pacific,JP,Tokyo,147,5.9
129.154.46.115,443,443,True,HYD,Asia Pacific,IN,Hyderabad,261,5.85
150.230.103.17,2086,443,True,NRT,Asia Pacific,JP,Tokyo,85,5.72
217.142.138.20,443,443,True,ICN,Asia Pacific,KR,Seoul,135,5.72
217.142.128.252,443,443,True,ICN,Asia Pacific,KR,Seoul,343,5.7
168.138.55.208,443,443,True,KIX,Asia Pacific,JP,Osaka,143,5.7
158.178.238.239,443,443,True,SIN,Asia Pacific,SG,Singapore,20,5.69
131.186.19.112,2083,2083,True,ICN,Asia Pacific,KR,Seoul,211,5.65
131.186.27.112,2096,443,True,ICN,Asia Pacific,KR,Seoul,265,5.64
64.110.104.30,443,443,True,KIX,Asia Pacific,JP,Osaka,125,5.55
131.186.30.44,2053,443,True,ICN,Asia Pacific,KR,Seoul,228,5.55
152.69.197.102,443,443,True,KIX,Asia Pacific,JP,Osaka,313,5.54
146.56.153.6,443,443,True,ICN,Asia Pacific,KR,Seoul,77,5.53
140.238.58.181,2053,443,True,NRT,Asia Pacific,JP,Tokyo,215,5.48
130.162.143.219,443,443,True,ICN,Asia Pacific,KR,Seoul,217,5.47
138.3.214.161,2086,443,True,NRT,Asia Pacific,JP,Tokyo,232,5.43
158.179.167.73,443,443,True,ICN,Asia Pacific,KR,Seoul,106,5.4
131.186.17.132,443,443,True,ICN,Asia Pacific,KR,Seoul,115,5.28
158.180.65.145,443,443,True,ICN,Asia Pacific,KR,Seoul,104,5.27
129.154.59.99,443,443,True,ICN,Asia Pacific,KR,Seoul,348,5.23
152.70.232.151,443,443,True,ICN,Asia Pacific,KR,Seoul,170,5.03
217.142.243.226,443,443,True,KIX,Asia Pacific,JP,Osaka,103,4.94
146.56.101.141,443,443,True,ICN,Asia Pacific,KR,Seoul,204,4.93
131.186.60.210,8080,443,True,NRT,Asia Pacific,JP,Tokyo,144,4.88
140.238.23.148,443,443,True,ICN,Asia Pacific,KR,Seoul,127,4.77
168.138.209.31,443,443,True,NRT,Asia Pacific,JP,Tokyo,247,4.45
152.70.88.98,443,443,True,ICN,Asia Pacific,KR,Seoul,238,4.32
141.147.147.180,443,443,True,KIX,Asia Pacific,JP,Osaka,227,4.08
158.180.82.203,8443,443,True,ICN,Asia Pacific,KR,Seoul,134,6.81
144.24.80.56,443,443,True,ICN,Asia Pacific,KR,Seoul,326,6.72
129.154.254.254,8443,443,True,BOM,Asia Pacific,IN,Mumbai,219,6.16
132.226.7.217,443,443,True,NRT,Asia Pacific,JP,Tokyo,198,5.89
129.154.59.99,443,443,True,ICN,Asia Pacific,KR,Seoul,194,5.87
168.138.165.174,443,443,True,SIN,Asia Pacific,SG,Singapore,119,5.85
129.154.46.115,443,443,True,HYD,Asia Pacific,IN,Hyderabad,227,5.85
152.69.197.102,443,443,True,KIX,Asia Pacific,JP,Osaka,259,5.8
158.180.65.145,443,443,True,ICN,Asia Pacific,KR,Seoul,224,5.79
146.56.153.6,443,443,True,ICN,Asia Pacific,KR,Seoul,145,5.78
