IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.105.130.188,443,443,true,LHR,Europe,GB,London,223,8.87
34.55.194.208,443,443,true,ORD,North America,US,Chicago,296,8.86
34.147.196.2,443,443,true,LHR,Europe,GB,London,255,8.83
34.55.194.208,443,443,true,ORD,North America,US,Chicago,213,8.81
34.69.150.180,443,443,true,ORD,North America,US,Chicago,304,8.79
35.189.99.124,443,443,true,LHR,Europe,GB,London,233,8.79
34.69.150.180,443,443,true,ORD,North America,US,Chicago,292,8.73
34.70.91.86,443,443,true,ORD,North America,US,Chicago,242,8.64
34.69.150.180,443,443,true,ORD,North America,US,Chicago,257,8.64
35.202.158.120,443,443,true,ORD,North America,US,Chicago,209,8.63
34.69.150.180,443,443,true,ORD,North America,US,Chicago,327,8.61
35.202.158.120,443,443,true,ORD,North America,US,Chicago,285,8.61
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,273,8.13
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,370,7.94
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,362,7.52
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,313,7.35
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,292,6.65
35.246.97.251,443,443,true,LHR,Europe,GB,London,375,6.19
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,346,6.16
34.147.196.2,443,443,true,LHR,Europe,GB,London,178,5.48
34.89.91.99,443,443,true,LHR,Europe,GB,London,298,5.32
34.105.130.188,443,443,true,LHR,Europe,GB,London,350,5.11
34.105.140.105,443,443,true,LHR,Europe,GB,London,343,5.10
35.197.239.137,443,443,true,LHR,Europe,GB,London,228,5.07
34.89.30.78,443,443,true,LHR,Europe,GB,London,281,5.04
34.105.189.25,443,443,true,LHR,Europe,GB,London,238,4.78
34.105.140.105,443,443,true,LHR,Europe,GB,London,352,3.59
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,266,0.40
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,421,0.38
